id,key,name
Aatrox,266,아트록스
Ahri,103,아리
Akali,84,아칼리
Akshan,166,아크샨
Alistar,12,알리스타
Amumu,32,아무무
Anivia,34,애니비아
Annie,1,애니
Aphelios,523,아펠리오스
Ashe,22,애쉬
AurelionSol,136,아우렐리온 솔
Azir,268,아지르
Bard,432,바드
Belveth,200,벨베스
Blitzcrank,53,블리츠크랭크
Brand,63,브랜드
Braum,201,브라움
Briar,233,브라이어
Caitlyn,51,케이틀린
Camille,164,카밀
Cassiopeia,69,카시오페아
Chogath,31,초가스
Corki,42,코르키
Darius,122,다리우스
Diana,131,다이애나
Draven,119,드레이븐
DrMundo,36,문도 박사
Ekko,245,에코
Elise,60,엘리스
Evelynn,28,이블린
Ezreal,81,이즈리얼
Fiddlesticks,9,피들스틱
Fiora,114,피오라
Fizz,105,피즈
Galio,3,갈리오
Gangplank,41,갱플랭크
Garen,86,가렌
Gnar,150,나르
Gragas,79,그라가스
Graves,104,그레이브즈
Gwen,887,그웬
Hecarim,120,헤카림
Heimerdinger,74,하이머딩거
Hwei,910,흐웨이
Illaoi,420,일라오이
Irelia,39,이렐리아
Ivern,427,아이번
Janna,40,잔나
JarvanIV,59,자르반 4세
Jax,24,잭스
Jayce,126,제이스
Jhin,202,진
Jinx,222,징크스
Kaisa,145,카이사
Kalista,429,칼리스타
Karma,43,카르마
Karthus,30,카서스
Kassadin,38,카사딘
Katarina,55,카타리나
Kayle,10,케일
Kayn,141,케인
Kennen,85,케넨
Khazix,121,카직스
Kindred,203,킨드레드
Kled,240,클레드
KogMaw,96,코그모
KSante,897,크산테
Leblanc,7,르블랑
LeeSin,64,리 신
Leona,89,레오나
Lillia,876,릴리아
Lissandra,127,리산드라
Lucian,236,루시안
Lulu,117,룰루
Lux,99,럭스
Malphite,54,말파이트
Malzahar,90,말자하
Maokai,57,마오카이
MasterYi,11,마스터 이
Milio,902,밀리오
MissFortune,21,미스 포츈
MonkeyKing,62,오공
Mordekaiser,82,모데카이저
Morgana,25,모르가나
Naafiri,950,나피리
Nami,267,나미
Nasus,75,나서스
Nautilus,111,노틸러스
Neeko,518,니코
Nidalee,76,니달리
Nilah,895,닐라
Nocturne,56,녹턴
Nunu,20,누누와 윌럼프
Olaf,2,올라프
Orianna,61,오리아나
Ornn,516,오른
Pantheon,80,판테온
Poppy,78,뽀삐
Pyke,555,파이크
Qiyana,246,키아나
Quinn,133,퀸
Rakan,497,라칸
Rammus,33,람머스
RekSai,421,렉사이
Rell,526,렐
Renata,888,레나타 글라스크
Renekton,58,레넥톤
Rengar,107,렝가
Riven,92,리븐
Rumble,68,럼블
Ryze,13,라이즈
Samira,360,사미라
Sejuani,113,세주아니
Senna,235,세나
Seraphine,147,세라핀
Sett,875,세트
Shaco,35,샤코
Shen,98,쉔
Shyvana,102,쉬바나
Singed,27,신지드
Sion,14,사이온
Sivir,15,시비르
Skarner,72,스카너
Smolder,901,스몰더
Sona,37,소나
Soraka,16,소라카
Swain,50,스웨인
Sylas,517,사일러스
Syndra,134,신드라
TahmKench,223,탐 켄치
Taliyah,163,탈리야
Talon,91,탈론
Taric,44,타릭
Teemo,17,티모
Thresh,412,쓰레쉬
Tristana,18,트리스타나
Trundle,48,트런들
Tryndamere,23,트린다미어
TwistedFate,4,트위스티드 페이트
Twitch,29,트위치
Udyr,77,우디르
Urgot,6,우르곳
Varus,110,바루스
Vayne,67,베인
Veigar,45,베이가
Velkoz,161,벨코즈
Vex,711,벡스
Vi,254,바이
Viego,234,비에고
Viktor,112,빅토르
Vladimir,8,블라디미르
Volibear,106,볼리베어
Warwick,19,워윅
Xayah,498,자야
Xerath,101,제라스
XinZhao,5,신 짜오
Yasuo,157,야스오
Yone,777,요네
Yorick,83,요릭
Yuumi,350,유미
Zac,154,자크
Zed,238,제드
Zeri,221,제리
Ziggs,115,직스
Zilean,26,질리언
Zoe,142,조이
Zyra,143,자이라
